VendorID,passenger_count,fare_amount,mean_distance,mean_duration,rush_hour
2,6,13.0,3.5216666666666665,22.847222222222218,1
1,1,16.0,3.108888888888889,24.470370370370368,0
1,1,6.5,0.8814285714285715,7.25,1
2,1,20.5,3.7,30.25,0
2,1,16.5,4.4350000000000005,14.616666666666667,0
2,6,9.0,2.052258064516129,11.855376344086022,0
2,1,47.5,12.83,59.63333333333333,1
2,1,16.0,4.0225,26.4375,1
2,1,9.0,1.0192592592592593,7.873456790123457,1
1,1,13.0,1.5799999999999998,10.541111111111112,0
2,1,11.5,1.641,14.178333333333333,0
2,2,52.0,19.21166666666667,40.5,1
1,1,15.0,3.3075,15.058333333333334,1
2,1,9.5,2.39,7.866666666666666,0
1,1,17.5,2.93,19.555,0
2,1,19.0,5.949999999999999,17.166666666666664,1
1,1,12.5,3.266666666666667,14.733333333333334,1
2,2,9.5,1.6228571428571428,12.304761904761905,0
2,2,5.0,0.6621428571428571,4.577380952380952,1
2,2,11.5,2.1383333333333336,13.63888888888889,0
1,1,6.5,1.3033333333333335,6.997777777777778,0
2,1,62.5,20.552,39.376666666666665,0
2,1,5.5,0.7076923076923076,5.083333333333333,0
1,1,7.0,1.8766666666666667,8.994444444444445,0
1,1,5.5,0.6073684210526316,4.6957894736842105,0
2,1,8.0,1.365,10.897916666666667,1
1,1,13.0,3.1500000000000004,16.925,0
2,1,5.5,0.9922950819672132,10.048087431693988,0
1,1,11.0,2.15,13.945833333333333,0
2,1,62.5,30.83,88.78333333333333,0
1,1,10.5,2.1277777777777778,14.282407407407407,0
1,4,9.0,1.285,9.110416666666667,0
2,1,40.5,14.32,28.983333333333334,0
1,1,15.5,2.6923076923076925,14.447435897435897,1
1,1,10.5,1.9633333333333334,17.365555555555556,1
2,5,9.5,3.214,17.433333333333334,0
1,1,5.0,0.628974358974359,4.2123931623931625,0
2,1,11.5,1.8414285714285714,14.058333333333334,1
1,4,4.0,0.8415384615384615,6.178205128205128,1
2,1,7.5,1.3384615384615384,6.333974358974359,0
2,3,9.5,1.474705882352941,13.119607843137254,1
1,1,9.0,1.7333333333333334,11.068888888888889,1
2,1,16.5,4.52,16.35,1
2,2,6.5,1.455,8.868055555555555,0
2,1,5.0,0.6521428571428572,6.185714285714286,1
1,1,8.5,1.9735294117647058,12.711764705882352,1
2,4,10.5,1.395217391304348,14.095652173913043,0
2,4,31.5,3.665714285714286,17.86190476190476,0
2,6,11.0,3.5233333333333334,15.088888888888889,0
2,1,3.5,0.6303846153846154,5.390384615384615,1
2,2,25.5,7.37,24.183333333333334,1
1,1,10.5,1.9580000000000002,12.07,1
1,2,17.5,2.5566666666666666,21.569444444444443,0
2,1,4.5,1.1355555555555557,6.517901234567902,1
1,1,16.0,3.214,17.433333333333334,1
2,1,32.5,11.11,29.706666666666667,0
1,1,15.5,2.93,19.555,0
2,2,10.0,2.46,9.408333333333333,0
2,1,7.0,1.03,9.822619047619048,0
2,1,4.5,0.6018918918918919,5.559459459459459,1
2,5,4.0,0.5816363636363636,4.19469696969697,1
2,1,8.0,1.181904761904762,10.54047619047619,0
2,1,21.0,7.63,19.433333333333334,1
2,6,21.5,0.7217073170731707,5.3288617886178855,1
1,1,5.0,1.0374193548387096,6.557258064516129,1
2,6,4.5,1.0142105263157895,9.007894736842106,0
2,1,28.0,3.776,28.929999999999996,0
2,2,13.0,3.4442857142857144,21.445238095238096,0
1,1,5.5,1.051212121212121,8.531818181818181,1
2,1,5.5,0.5216666666666666,4.46875,1
1,4,10.5,2.5125,16.575,0
2,4,6.5,1.2989473684210526,7.580701754385965,0
2,2,5.0,0.8908333333333334,6.705555555555556,0
2,4,6.0,0.86,4.283333333333333,0
2,1,5.0,0.9583333333333334,6.284722222222222,1
2,6,7.0,1.799642857142857,15.05595238095238,1
